date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:49	392421/392421	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2016:59:46%20GMT	https://woodmart.xtemos.com/demo-retail/demo/retail/	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.xtemos.com/demo-retail/demo/retail/index.html	(from )
19:59:50	291/291	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Aug%202024%2016:59:47%20GMT	https://woodmart.xtemos.com/robots.txt		(from )
19:59:51	401858/401858	---MCZ	200	added ('OK')	text/css	etag:W/%22669a766c-621c2%22	https://woodmart.b-cdn.net/wp-content/cache/min/1/d8e57ca65bf6cdd9828032a21744762e.css	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/cache/min/1/d8e57ca65bf6cdd9828032a21744762e.css	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:51	40824/40824	---M--	200	added ('OK')	image/jpeg	etag:%226112932e-9f78%22	https://woodmart.b-cdn.net/wp-content/uploads/2021/08/01_theme-preview.__large_preview.jpg	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2021/08/01_theme-preview.__large_preview.jpg	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:52	0/0	---M--	200	added ('OK')	text/css	etag:%2264e4a7f5-0%22	https://woodmart.b-cdn.net/wp-content/themes/woodmart/css/parts/int-woo-paypal-payments.min.css?ver=7.5.1	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/themes/woodmart/css/parts/int-woo-paypal-payments.min8c10.css	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:52	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22658ad049-15601%22	https://woodmart.b-cdn.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:53	1357/1357	---M--	200	added ('OK')	image/png	etag:%2264e5cb0a-54d%22	https://woodmart.b-cdn.net/wp-content/uploads/2021/06/cropped-woodmart-favicon-512px-45x45.png	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2021/06/cropped-woodmart-favicon-512px-45x45.png	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:53	12223/12223	---M--	200	added ('OK')	image/png	etag:%2264e5cb0a-2fbf%22	https://woodmart.b-cdn.net/wp-content/uploads/2021/06/cropped-woodmart-favicon-512px-290x290.png	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2021/06/cropped-woodmart-favicon-512px-290x290.png	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:54	14721/14721	---M--	200	added ('OK')	image/jpeg	etag:%2265cf79b1-3981%22	https://woodmart.b-cdn.net/wp-content/uploads/2018/08/retail-popup-bg.jpg	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2018/08/retail-popup-bg.jpg	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:56	119447/119447	---M--	200	added ('OK')	image/jpeg	etag:%226223713e-1d297%22	https://woodmart.b-cdn.net/wp-content/uploads/2022/03/page-title-shop.jpg	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2022/03/page-title-shop.jpg	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
19:59:56	42375/42375	---M--	200	added ('OK')	image/jpeg	etag:%2265cf79a2-a587%22	https://woodmart.b-cdn.net/wp-content/uploads/2018/08/retail-shop-bg-1.jpg	C:/My%20Web%20Sites/HTTRACK%20CLONE/woodmart.b-cdn.net/wp-content/uploads/2018/08/retail-shop-bg-1.jpg	(from https://woodmart.xtemos.com/demo-retail/demo/retail/)
